CountryCode,state,city,lat,lon,area_code
us,Minnesota,Brooklyn Park,45.1112,-93.3505,"763"
us,Indiana,Carmel,39.965,-86.146,"317, 463"
us,Texas,Beaumont,30.0849,-94.1451,"409"
us,Indiana,Elkhart,41.6916,-85.9627,"574"
us,Arizona,Yuma,32.5995,-114.5491,"928"
us,Michigan,Bay City,43.5902,-83.8887,"989"
us,Louisiana,Lake Charles,30.201,-93.2111,"337"
us,Colorado,Grand Junction,39.0877,-108.5673,"970, 784"
us,Kansas,Olathe,38.8833,-94.82,"913"
us,Texas,Midland,32.0243,-102.1147,"432"
us,Colorado,Greeley,40.4152,-104.7706,"970, 784"
us,New Mexico,Las Cruces,32.3265,-106.7893,"575"
us,Colorado,Thornton,39.9197,-104.9438,"303, 720, 983"
us,Washington,Spokane Valley,47.6626,-117.2346,"509"
us,Michigan,Farmington Hills,42.486,-83.3771,"248,947"
us,South Carolina,Columbia,38.9472,-92.3268,"803"
us,Georgia,Alpharetta,34.0704,-84.2738,"770,678,470"
us,Missouri,St. Joseph,39.7598,-94.821,"816,975"
us,Utah,Sandy,40.5709,-111.8506,"801,385"
us,Michigan,Troy,42.5817,-83.1457,"248,947"
us,Illinois,Skokie,42.036,-87.74,"847,224"
us,Texas,Cedar Park,30.5105,-97.8197,"512,737"
us,Oregon,Gresham,45.5021,-122.4413,"503, 971"
us,Kansas,Lawrence,42.7002,-71.1626,"785"
us,New York,Utica,43.0962,-75.2261,"315"
us,Virginia,Hampton,37.0551,-76.363,"757, 948"
us,Montana,Billings,45.7891,-108.5526,"406"
us,Illinois,Bloomington,44.8306,-93.3151,"309, 861"
us,Texas,Tyler,32.3184,-95.3062,"903, 430"
us,Connecticut,Stamford,41.1039,-73.5585,"203, 475"
us,Wisconsin,Racine,42.7274,-87.8135,"262"
us,Washington,Kent,47.3887,-122.2128,"253"
us,Washington,Yakima,46.5923,-120.5496,"509"
us,Florida,Coral Springs,26.2702,-80.2591,"954, 754"
us,Michigan,Sterling Heights,42.5809,-83.0305,"586"
us,Oklahoma,Broken Arrow,36.038,-95.7806,"918, 539"
us,South Carolina,Charleston,38.3484,-81.6322,"843, 854"
us,Texas,Carrollton,32.989,-96.8999,"214, 469, 972, 945"
us,Wisconsin,Sheboygan,43.7403,-87.7316,"920,274"
us,Florida,Largo,27.9088,-82.7712,"727"
us,Maryland,Silver Spring,39.0028,-77.0207,"301, 240, 227"
us,Nevada,Sparks,39.5736,-119.7161,"775"
us,Tennessee,Johnson City,36.3406,-82.3806,"423, 729"
us,Washington,Bellingham,48.7548,-122.469,"360, 564"
us,Oklahoma,Norman,35.2335,-97.3471,"405"
us,Idaho,Coeur d'Alene,47.704,-116.7936,"208"
us,Arkansas,Fort Smith,35.3495,-94.3695,"479"
us,Texas,Lewisville,33.0454,-96.9815,"214, 469, 972, 945"
us,New York,Levittown,40.7241,-73.5125,"363,516"
us,Delaware,Dover,39.161,-75.5202,"302"
us,New York,Rochester,44.0154,-92.478,"585"
us,Florida,Lehigh Acres,26.612,-81.6388,"239"
us,Texas,Abilene,32.4543,-99.7384,"325"
us,New Mexico,Rio Rancho,35.2873,-106.6982,"505"
us,Wisconsin,Kenosha,42.5865,-87.8773,"262"
us,Michigan,Wyoming,42.8908,-85.7066,"616"
us,Idaho,Meridian,43.6116,-116.3977,"208, 986"
us,Florida,Jupiter,26.92,-80.1128,"561, 728"
us,Texas,Round Rock,30.527,-97.6642,"512, 737"
us,Maryland,Waldorf,38.6085,-76.9194,"301, 240"
us,Maryland,Severn,39.1355,-76.6956,"928"
us,Texas,Temple,31.1068,-97.3891,"254"
us,Colorado,Arvada,39.832,-105.151,"303, 720, 983"
us,Texas,Port Arthur,29.8554,-93.9264,"409"
us,Missouri,St. Peters,38.7825,-90.6061,"636"
us,Arkansas,Rogers,36.317,-94.1531,"479"
us,Illinois,Hoffman Estates,42.064,-88.1468,"224, 847"
us,Minnesota,Duluth,46.7756,-92.1393,"218"
us,Missouri,Independence,39.0871,-94.3501,"816, 975"
us,Kansas,Shawnee,39.0158,-94.8076,"913"
us,Colorado,Pueblo,38.2701,-104.6114,"719"
us,Colorado,Boulder,40.0248,-105.2524,"303, 720, 983"
us,Minnesota,St. Cloud,45.534,-94.1718,"320"
us,Florida,West Palm Beach,26.7469,-80.132,"561, 728"
us,North Carolina,Burlington,44.4876,-73.2316,"336, 743"
us,Texas,Richardson,32.9716,-96.7093,"214, 469, 945, 972"
us,Louisiana,Monroe,32.5185,-92.0774,"318, 457"
us,South Carolina,North Charleston,32.9067,-80.0722,"843, 854"
us,Michigan,Saginaw,43.4199,-83.9501,"989"
us,Florida,Clearwater,27.979,-82.7623,"727"
us,Texas,The Woodlands,30.1738,-95.5134,"832, 281"
us,Maryland,Rockville,39.0834,-77.1553,"301,240,227"
us,Missouri,O'Fallon,38.785,-90.7175,"636"
us,Florida,Brandon,27.9367,-82.3,"813, 656"
us,Florida,Bradenton,27.4901,-82.5757,"941"
us,Oregon,Bend,44.0563,-121.3095,"541, 458"
us,Texas,Harlingen,26.1916,-97.6977,"956"
us,Minnesota,Burnsville,44.7648,-93.2793,"952"
us,Colorado,Westminster,39.8837,-105.0624,"303, 720"
us,Louisiana,Mandeville,30.3751,-90.0904,"985"
us,Arizona,Casas Adobes,32.3423,-111.0113,"520"
us,Texas,League City,29.4874,-95.1087,"281, 346, 713, 832, 621"
us,Massachusetts,Lowell,42.6389,-71.3217,"978, 351"
us,Texas,Victoria,28.8287,-96.9849,"361"
us,Idaho,Idaho Falls,43.4871,-112.0362,"208"
us,Wisconsin,Eau Claire,44.8197,-91.4948,"715, 534"
us,Illinois,Elgin,42.0383,-88.324,"224, 847"
us,Florida,Spring Hill,35.7437,-86.9116,"352"
us,Iowa,Waterloo,42.4918,-92.3522,"319"
us,Texas,Texarkana,33.45,-94.0847,"903, 430"
us,Massachusetts,Leominster,42.5209,-71.7717,"506, 978"
us,Maryland,Bethesda,38.9866,-77.1188,"301,240,227"
us,Iowa,Sioux City,42.4959,-96.3901,"712"
us,Texas,Longview,32.5193,-94.7622,"903, 430"
us,Georgia,Marietta,33.9533,-84.5422,"770"
us,Washington,Everett,47.9525,-122.1669,"425"
us,Michigan,Holland,42.7677,-86.0984,"616"
us,Kentucky,Owensboro,37.7575,-87.1172,"270, 364"
us,Minnesota,Eden Prairie,44.8488,-93.4595,"952"
us,Florida,Jacksonville,34.7289,-77.3941,"904, 324"
us,Texas,Sugar Land,29.5935,-95.6358,"281, 346, 621, 713, 832"
us,Georgia,South Fulton,33.6273,-84.58,"404, 470, 678, 469, 770"
us,Illinois,Orland Park,41.6075,-87.8619,"708"
us,Alabama,Auburn,32.6087,-85.4903,"334"
us,Florida,Riverview,27.8227,-82.3023,"813, 656"
us,Texas,Allen,33.1088,-96.6735,"214, 469, 972, 945"
us,Colorado,Centennial,39.5926,-104.8673,"303, 720, 983"
us,West Virginia,Parkersburg,39.2623,-81.542,"304, 681"
